question_no,type,category,tags,source_ref,diagram_id,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point
11,single,金融資産運用,FP2級;学科;実践演習;四答択;source:2026-gakka-27-v1,2026-gakka-27,,"下記の〈条件〉で、円貨を米ドルに交換して米ドル建定期預金に10,000米ドルを預け入れ、満期時に元利金の米ドルを円貨に交換して受け取る場合における利回り（単利・年率）は、 （   ）である。なお、税金は考慮しないものとし、計算結果は表示単位の小数点以下第３位を四捨五入するものとする。

〈条件〉
・預入期間：１年
・預金金利：2.50％（年率）
・為替予約なし
・為替レート（米ドル／円）
　預入時…ＴＴＳ：138.00円　ＴＴＢ：137.00円
　満期時…ＴＴＳ：144.00円　ＴＴＢ：143.00円",,,,,,5.81％,6.27％,6.71％,7.45％,2,"正解は2です。円貨を米ドルに交換するときはＴＴＳ、満期時に円に戻すときはＴＴＢを用います。預入時1,380万円（10,000×138.00）、満期時1,465.75万円（10,250×143.00）。利回り＝85.75万円÷1,380万円×100≒6.268％→6.27％です。",2026年学科第27問（外貨預金利回り）をベースに、為替レートと金利だけ変更した演習です。,"10,000×138＝1,380万円、10,250×143＝1,465.75万円。（1,465.75－1,380）÷1,380×100≒6.27％。買いＴＴＳ・売りＴＴＢです。","1:5.81％は預入時にＴＴＢを用いた誤りや、金利加算を省いた計算で生じやすい値です。円→ドルはＴＴＳ138.00円、ドル→円はＴＴＢ143.00円で元利金を計算し、6.27％になります。;3:6.71％は満期時にＴＴＳを用いた誤りなど、為替の使い分けを誤った場合に近い値です。満期時の円受取はＴＴＢ143.00円を用い、6.27％が正しい利回りです。;4:7.45％は為替差益だけを過大に見積もった誤答で生じやすい値です。金利2.50％分の米ドル増と為替変動の両方を含め、投下円貨1,380万円で割ります。",外貨預金利回り＝（満期円受取－預入円払出）÷預入円払出×100。買いＴＴＳ・売りＴＴＢを固定で覚える。
12,single,相続・事業承継,FP2級;学科;実践演習;四答択;source:2026-gakka-57-v1,2026-gakka-57,,"Ｙ年７月15日（火）に死亡した被相続人が所有していた上場株式Ｚを相続により取得した場合、下記の〈資料〉に基づき、上場株式Ｚの１株当たりの相続税評価額は、 （   ）である。なお、記載のない事項については考慮しないものとする。

〈資料〉上場株式Ｚの価格
・Ｙ年５月の毎日の最終価格の月平均額：960円
・Ｙ年６月の毎日の最終価格の月平均額：1,020円
・Ｙ年７月の毎日の最終価格の月平均額：1,050円
・Ｙ年６月30日（月）の最終価格　：1,010円
・Ｙ年７月15日（火）の最終価格　：1,030円",,,,,,960円,"1,010円","1,020円","1,050円",3,"正解は3です。上場株式の相続税評価額は、原則として死亡日の属する月の前月の毎日の最終価格の月平均額です。７月15日死亡なら前月６月の月平均額1,020円です。",2026年学科第57問（上場株式評価）をベースに、死亡月と価格だけ変更した演習です。,"死亡日が７月15日なので、前月６月の月平均額1,020円が１株当たりの評価額です。","1:960円は５月の月平均額です。死亡月の前月である６月の平均を用いるため、５月の960円ではなく６月の1,020円が評価額になります。前月を取り違えないこと。;2:1,010円は６月末日の最終価格です。上場株式は原則月平均額を用い、特定日の終値1,010円ではなく６月全体の平均1,020円が評価額です。終値と平均を区別します。;4:1,050円は死亡日の属する７月の月平均額です。評価は死亡月の前月までの平均を用い、死亡月７月の1,050円は使いません。前月６月の1,020円が正答です。",上場株式の相続評価＝死亡日の属する月の前月の月平均額。終値・死亡月の平均と混同しない。
13,single,金融資産運用,FP2級;学科;実践演習;四答択;source:2026-gakka-26-v4,2026-gakka-26,,"Ｖ社の株価が2,160円、１株当たり純資産（自己資本）が720円である場合、Ｖ社のＰＢＲ（株価純資産倍率）は、 （   ）である。",,,,,,2.0倍,3.0倍,3.5倍,4.0倍,2,"正解は2です。PBR＝株価÷１株当たり純資産です。2,160円÷720円＝3.0倍です。",2026年学科第26問のPBRを、株価と純資産だけ変更した直接計算の演習です。,"PBR＝2,160÷720＝3.0倍。株価を１株当たり純資産で割ります。","1:2.0倍は2,160÷1,080など、純資産を2倍に誤った場合の値です。純資産は720円なので、2,160÷720＝3.0倍が正しい計算になります。;3:3.5倍は720×3.5など、株価を純資産に掛けた誤りで生じやすい値です。PBRは株価を純資産で割る指標であり、掛け算ではなく割り算で3.0倍になります。;4:4.0倍はPERと混同して純利益で割った場合などに出やすい誤答です。PBRの分母は純資産720円であり、2,160÷720＝3.0倍です。純利益は使いません。",PBR＝株価÷BPS。PER（株価÷EPS）・ROE（EPS÷BPS）と分母が異なるので取り違えに注意。
14,single,相続・事業承継,FP2級;学科;実践演習;四答択;source:2026-gakka-58-v2,2026-gakka-58,,"借地権（定期借地権等を除く）の目的となっている宅地の相続税評価額は、その自用地としての価額が7,500万円、借地権割合が65％である場合、原則として、 （   ）となる。",,,,,,"2,250万円","2,625万円","4,875万円","7,500万円",2,"正解は2です。貸宅地（借地権の目的地）の評価額は、自用地価額×(1－借地権割合)です。7,500万円×35％＝2,625万円です。",学科の貸宅地評価をベースに、自用地価額と借地権割合だけ変更した演習です。,"7,500万円×(1－65％)＝2,625万円。借地権割合だけを控除し、借家権は使いません。","1:2,250万円は7,500万円×30％など、控除後の割合を誤った場合の値です。借地権割合65％なら残りは35％であり、7,500×0.35＝2,625万円が正しい評価額です。;3:4,875万円は7,500万円×65％など、借地権割合を掛けた誤りで生じやすい値です。評価額は自用地から借地権分を控除し、残り35％の2,625万円になります。;4:7,500万円は自用地のままの評価額で、借地権の目的地としての減額を反映していません。借地権割合65％を控除し、2,625万円が貸宅地の評価額です。",貸宅地＝自用地×(1－借地権割合)。貸家建付地の3割合公式と混同しないこと。
15,single,タックスプランニング,FP2級;学科;実践演習;四答択;source:2026-gakka-34-v1,2026-gakka-34,,Ｂさんの2025年分の所得税における医療費控除の控除額を計算する場合、総所得金額が500万円、医療費として実際に支払った金額が45万円、その補填として受け取った保険金が5万円であるとき、医療費控除額は、 （   ）である。なお、「特定一般用医薬品等購入費を支払った場合の医療費控除の特例」は考慮しない。,,,,,,10万円,15万円,20万円,25万円,2,"正解は2です。医療費控除額＝支払医療費－保険金等の補填－max(10万円, 総所得金額×5％)です。45万円－5万円－25万円（500万円×5％）＝15万円です。",2026年学科第34問をベースに、医療費控除額を直接計算する演習です。,補填後40万円から、総所得500万円の5％である25万円（10万円超）を差し引き、控除額15万円です。,1:10万円は最低限度額10万円だけを差し引いた誤りです。総所得500万円の場合は5％の25万円が限度となるため、控除額は15万円です。10万円固定ではありません。;3:20万円は保険金補填5万円を差し引かない誤りで生じやすい値です。補填分は支払医療費から控除し、45－5－25＝15万円と計算します。補填を忘れないこと。;4:25万円は限度額25万円そのもので、実際の控除額ではありません。補填後の医療費40万円から限度25万円を引き、控除額は15万円です。限度と控除額は別です。,"医療費控除＝支払－補填－max(10万, 総所得×5％)。限度額は総所得5％と10万円のいずれか大きい方。"
16,single,相続・事業承継,FP2級;学科;実践演習;四答択;source:2025-gakka-52-v1,2025-gakka-52,,Ｄさんが暦年課税により父から現金200万円の贈与を受けた場合の贈与税の課税価格は、 （   ）である。なお、相続時精算課税制度の適用は受けないものとする。,,,,,,70万円,90万円,110万円,200万円,2,正解は2です。暦年課税の課税価格＝贈与財産の価額－基礎控除110万円です。200万円－110万円＝90万円です。,学科の贈与税をベースに、贈与額だけ変更した課税価格の演習です。,200万円－110万円＝90万円。暦年課税の基礎控除は年110万円です。,1:70万円は贈与170万円と誤認した場合の値です。贈与額200万円から基礎控除110万円を引き、課税価格は90万円になります。贈与額を確認してください。;3:110万円は基礎控除額そのもので、課税価格ではありません。基礎控除110万円を超える部分が課税価格となり、本問は200万円－110万円＝90万円です。;4:200万円は贈与財産の価額そのもので、基礎控除を差し引いていません。暦年課税では110万円の基礎控除後の90万円が課税価格です。贈与額全額は課税価格ではありません。,"暦年課税の課税価格＝贈与額－110万円。相続税の基礎控除3,000万＋600万×人と混同しない。"
17,single,不動産,FP2級;学科;実践演習;四答択;source:2026-gakka-49-v1,2026-gakka-49,,"Ｅさんが所有する土地を譲渡した場合の譲渡所得の金額は、譲渡価額が5,500万円、取得費が2,200万円、譲渡のための費用が150万円であるとき、 （   ）となる。なお、特別控除等は考慮しないものとする。",,,,,,"2,150万円","2,550万円","3,150万円","5,500万円",2,"正解は2です。譲渡所得の金額＝譲渡価額－取得費－譲渡費用です。5,500万円－2,200万円－150万円＝2,550万円です。",学科の譲渡所得をベースに、金額だけ変更した直接計算の演習です。,"5,500－2,200－150＝2,550万円。特別控除適用前の譲渡所得の金額です。","1:2,150万円は譲渡費用150万円を差し引かない誤りで生じやすい値です。取得費と譲渡費用の両方を引き、5,500－2,200－150＝2,550万円が正答です。費用を忘れないこと。;3:3,150万円は5,500－2,200のみで費用を引かない、または取得費を誤った誤答です。譲渡価額から取得費2,200万円と費用150万円を引き、2,550万円になります。両方控除します。;4:5,500万円は譲渡価額そのもので、取得費・費用を差し引いていません。譲渡所得は譲渡価額から必要経費を控除し、2,550万円が所得の金額です。売却額全額ではありません。","譲渡所得の金額＝譲渡価額－取得費－譲渡費用。3,000万円特別控除等は別途適用。"
18,single,金融資産運用,FP2級;学科;実践演習;四答択;source:2025-gakka-28-v2,2025-gakka-28,,"Ｆさんのポートフォリオにおける各資産の構成比および期待収益率が下記のとおりである場合、当該ポートフォリオの期待収益率は、 （   ）である。

預金　40％　期待収益率0.1％
債券　20％　期待収益率2.0％
株式　40％　期待収益率5.0％",,,,,,1.84％,2.24％,2.44％,2.70％,3,正解は3です。0.1％×40％＋2.0％×20％＋5.0％×40％＝0.04％＋0.40％＋2.00％＝2.44％です。,2025年学科第28問の2問目の派生。構成比と収益率を変更した演習です。,0.1×0.4＋2.0×0.2＋5.0×0.4＝2.44％。各資産の加重平均です。,1:1.84％は構成比を誤った加重平均の結果です。40％・20％・40％で0.1％・2.0％・5.0％を掛け合わせ、合計2.44％になります。構成比を確認してください。;2:2.24％は株式の構成比を30％と誤った場合などに出やすい値です。株式は40％なので5.0％×40％＝2.00％を加算し、全体で2.44％です。40％で計算します。;4:2.70％は過去問の別数値（60％・10％・30％構成）の結果に近い誤答です。本問の構成比40・20・40で再計算すると2.44％が正しい期待収益率です。数値を流用しないこと。,ポートフォリオ期待収益率は構成比×収益率の合計。過去問の数値をそのまま選ばないこと。
19,single,タックスプランニング,FP2級;学科;実践演習;四答択;source:2026-gakka-16-v2,2026-gakka-16,,"給与所得者が18年間勤務した会社を退職し、退職金1,800万円の支給を受けた場合、所得税における退職所得の金額の計算上、退職所得控除額は（   ）となる。",,,,,,40万円×18年＝720万円,800万円＋40万円×(18年－20年)＝720万円,800万円＋70万円×(18年－20年)＝940万円,"70万円×18年＝1,260万円",1,正解は1です。勤続18年は20年以下なので、退職所得控除額＝40万円×勤続年数（最低80万円）です。40万円×18年＝720万円です。,学科の退職所得控除の2問目。20年以下の勤続年数に変更した演習です。,18年は20年以下。40万円×18年＝720万円。800万円＋70万円×(年－20)の式は使いません。,2:800万円＋40万円×(18－20)は20年超用の式を誤用した選択肢です。18年勤続は20年以下なので、40万円×18年＝720万円の公式を使います。年数で式を選びます。;3:800万円＋70万円×(18－20)は20年超の70万円式を誤用した誤答です。20年以下は40万円×年数（最低80万円）であり、18年なら720万円が控除額です。70万円式は使いません。;4:70万円×18年は退職所得控除の公式ではありません。20年以下は40万円×勤続年数で計算し、18年なら720万円になります。70万円は20年超の加算額です。,退職所得控除は20年以下と20年超で式が異なる。年数を見てから式を選ぶ。
20,single,相続・事業承継,FP2級;学科;実践演習;四答択;source:2026-gakka-55-v2,2026-gakka-55,,相続税における遺産に係る基礎控除額を計算する場合、法定相続人が配偶者1人と子1人のとき、遺産に係る基礎控除額は、 （   ）である。,,,,,,"3,600万円","4,200万円","4,800万円","5,400万円",2,"正解は2です。法定相続人は2人（配偶者1＋子1）なので、3,000万円＋600万円×2人＝4,200万円です。",2026年学科第55問の2問目。法定相続人2人の直接計算に整理した演習です。,"人数2人→3,000＋600×2＝4,200万円。配偶者と子1人で合計2人です。","1:3,600万円は法定相続人1人の場合の金額です。配偶者1人と子1人で2人なので、600万円×2を加算し4,200万円になります。人数を先に数えてください。;3:4,800万円は法定相続人3人の場合の金額です。本問は配偶者1＋子1の2人なので、3,000＋600×2＝4,200万円が基礎控除額です。3人ではありません。;4:5,400万円は4人を数えた場合の金額です。2人を先に確定し、3,000万円＋1,200万円＝4,200万円と計算してください。金額から人数を逆算しません。","基礎控除＝3,000万＋600万×人数。第1バッチの3人（4,800万）と人数を取り違えない。"
21,single,ライフプランニングと資金計画,FP2級;学科;実践演習;四答択;source:2025-gakka-10-v1,2025-gakka-10,,"下記の〈Ｇ社の貸借対照表〉に基づくＧ社の自己資本比率は、 （   ）である。なお、自己資本比率＝純資産÷総資産×100とする。

〈Ｇ社の貸借対照表〉（単位：百万円）
総資産　8,000
純資産　3,500
負債合計　4,500",,,,,,35.0％,43.8％,50.0％,80.0％,2,"正解は2です。自己資本比率＝3,500百万円÷8,000百万円×100＝43.75％です。表示上43.8％とします。",2025年学科第10問（財務分析）をベースに、自己資本比率を直接計算する演習です。,"3,500÷8,000×100＝43.75％。純資産を総資産で割り、百分率に直します。","1:35.0％は純資産2,800百万円÷8,000など、純資産を誤った場合の値です。純資産は3,500百万円なので、3,500÷8,000×100＝43.75％が正しい計算になります。;3:50.0％は負債4,500百万円÷9,000など、負債を総資産と誤って割った誤答です。自己資本比率の分母は総資産8,000百万円であり、純資産3,500百万円を割ります。;4:80.0％は過去問の別会社データの比率を流用した誤答で生じやすい値です。本問は総資産8,000・純資産3,500で再計算し、43.8％（43.75％）が正答です。",自己資本比率＝純資産÷総資産×100。流動比率など他の指標と分子・分母を取り違えない。
22,single,リスク管理,FP2級;学科;実践演習;四答択;source:2026-gakka-14-v1,2026-gakka-14,,2012年１月１日以後に締結した一般の生命保険契約について、2025年中に支払った一般の生命保険料が8万円である場合の、所得税における一般の生命保険料控除の控除額は、 （   ）である。なお、ほかの生命保険料控除は考慮しないものとする。,,,,,,2万円,3万円,4万円,8万円,3,"正解は3です。新制度の一般生命保険料控除は、支払保険料が4万円超8万円以下の場合、支払保険料×1/4＋2万円です。80,000円×1/4＋20,000円＝40,000円（4万円）です。",2026年学科第14問をベースに、新制度のみの生命保険料控除を直接計算する演習です。,8万円は4万円超8万円以下の段階。8万×1/4＋2万＝4万円が控除額です。,1:2万円は支払保険料の1/4だけを計算した誤りです。新制度一般生命は8万円ちょうどは1/4＋2万の段階で、控除額は4万円になります。1/4だけでは不足です。;2:3万円は6万円支払時の控除額など、別の保険料額の結果を流用した誤答です。本問は8万円支払なので、8万×1/4＋2万＝4万円が控除額です。支払額を確認してください。;4:8万円は支払保険料そのもので、控除額ではありません。生命保険料控除は式で算出し、8万円支払でも控除額は4万円が上限です。支払額と控除額は別です。,新制度一般生命：4万超8万以下は「支払×1/4＋2万」。8万超は4万円が上限。
